# GREAT version 4.0.4	Species assembly: hg38	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
Region1	OR4F16 (-115333)
Region61772	RPS4X (+175)
Region61773	CITED1 (+1321)
Region61774	PABPC1L2A (+11502)
Region61775	PABPC1L2A (+10164)
Region61776	CDX4 (-51935)
Region61777	CHIC1 (+402)
Region61778	CHIC1 (+288104)
Region61779	ZCCHC13 (-359930)
Region61780	ZCCHC13 (-326528)
Region61781	ZCCHC13 (-137431)
Region61782	ZCCHC13 (-11657)
Region61783	ZCCHC13 (+18998)
Region61784	ZCCHC13 (+47855)
Region61785	ZCCHC13 (+49915)
Region61786	SLC16A2 (-1128)
Region61787	RLIM (+72459)
Region61788	RLIM (+63965)
Region61789	RLIM (+555)
Region61790	RLIM (-28)
Region61791	NEXMIF (+469)
Region61792	ABCB7 (+23916)
Region61793	ABCB7 (-127)
Region61794	ABCB7 (-23465)
Region61795	UPRT (+13)
Region61796	ZDHHC15 (+53180)
Region61797	ZDHHC15 (-23)
Region61798	PBDC1 (-207161)
Region61799	PBDC1 (-27251)
Region61800	PBDC1 (-23540)
Region61801	PBDC1 (+53)
Region61802	MAGEE1 (+366)
Region61803	MAGEE1 (+369259)
Region61804	MAGEE1 (+373125)
Region61805	FGF16 (+3965)
Region61806	ATRX (+81660)
Region61807	ATRX (+116)
Region61808	MAGT1 (+109)
Region61809	COX7B (-141)
Region61810	COX7B (+3669)
Region61811	ATP7A (-53)
Region61812	ATP7A (+20050)
Region61813	PGAM4 (+17760)
Region61814	PGK1 (-30496)
Region61815	PGK1 (-29735)
Region61816	PGK1 (-6)
Region61817	PGK1 (+7368)
Region61818	TAF9B (+11530)
Region61819	TAF9B (+185)
Region61820	TAF9B (-19013)
Region61821	CYSLTR1 (+5384)
Region61822	RTL3 (+142021)
Region61823	RTL3 (+39749)
Region61824	GPR174 (+88262)
Region61825	ITM2A (+100)
Region61826	ITM2A (-89709)
Region61827	ITM2A (-222538)
Region61828	ITM2A (-276339)
Region61829	TBX22 (-87705)
Region61830	TBX22 (+8849)
Region61831	BRWD3 (+326)
Region61832	BRWD3 (-433)
Region61833	SH3BGRL (-80235)
Region61834	SH3BGRL (-6824)
Region61835	POU3F4 (-770144)
Region61836	POU3F4 (-636144)
Region61837	POU3F4 (-614662)
Region61838	POU3F4 (+126972)
Region61839	RPS6KA6 (+76801)
Region61840	APOOL (-167)
Region61841	SATL1 (+26779)
Region61842	SATL1 (+405)
Region61843	DACH2 (+600026)
Region61844	KLHL4 (-117555)
Region61845	KLHL4 (-55677)
Region61846	KLHL4 (+396831)
Region61847	CPXCR1 (+32246)
Region61848	CPXCR1 (+116861)
Region61849	PCDH11X (+812277)
Region61850	NAP1L3 (+844959)
Region61851	NAP1L3 (+205714)
Region61852	NAP1L3 (+337)
Region61853	NONE
Region61854	NONE
Region61855	DIAPH2 (+209)
Region61856	DIAPH2 (+22296)
Region61857	RPA4 (+392903)
Region61858	RPA4 (+679850)
Region61859	NONE
Region61860	NONE
Region61861	PCDH19 (+508786)
Region61862	TNMD (-34118)
Region61863	CSTF2 (-31)
Region61864	XKRX (-403)
Region61865	TRMT2B (+212)
Region61866	CENPI (-2462)
Region61867	DRP2 (-11303)
Region61868	TAF7L (+30460)
Region61869	TIMM8A (+22362)
Region61870	TIMM8A (+302)
Region61871	RPL36A (+41)
Region61872	HNRNPH2 (-129)
Region61873	HNRNPH2 (+10068)
Region61874	ARMCX4 (-2570)
Region61875	ARMCX6 (+18606)
Region61876	ARMCX3 (+363)
Region61877	ARMCX2 (+991)
Region61878	NXF5 (+43600)
Region61879	ZMAT1 (-193)
Region61880	TCEAL2 (-93840)
Region61881	BEX5 (-95)
Region61882	TMSB15A (+143)
Region61883	ARMCX5 (-150)
Region61884	GPRASP1 (-13)
Region61885	GPRASP1 (+8763)
Region61886	GPRASP1 (+9271)
Region61887	BHLHB9 (+23129)
Region61888	RAB40AL (-92015)
Region61889	BEX4 (-2865)
Region61890	BEX4 (+214)
Region61891	TCEAL8 (+211)
Region61892	BEX2 (+204)
Region61893	BEX3 (+750)
Region61894	RAB40A (+38224)
Region61895	RAB40A (-27658)
Region61896	RAB40A (-30874)
Region61897	TCEAL4 (-21376)
Region61898	TCEAL4 (+9499)
Region61899	TCEAL3 (+580)
Region61900	TCEAL1 (-77)
Region61901	TCEAL1 (+4563)
Region61902	MORF4L2 (-226)
Region61903	RAB9B (+275)
Region61904	TMSB15B (-43582)
Region61905	ZCCHC18 (-1847)
Region61906	ZCCHC18 (-74)
Region61907	SLC25A53 (+14)
Region61908	FAM199X (-163)
Region61909	IL1RAPL2 (-1002)
Region61910	TEX13A (+310798)
Region61911	TEX13A (+298430)
Region61912	NRK (-260383)
Region61913	NRK (+66927)
Region61914	CXorf57 (-74)
Region61915	CLDN2 (-5469)
Region61916	RIPPLY1 (-24181)
Region61917	RIPPLY1 (-46919)
Region61918	MORC4 (+132)
Region61919	NUP62CL (+84)
Region61920	PIH1D3 (+123944)
Region61921	FRMPD3 (-89619)
Region61922	FRMPD3 (-81542)
Region61923	FRMPD3 (-71773)
Region61924	PRPS1 (+40)
Region61925	PRPS1 (+45446)
Region61926	PRPS1 (+50566)
Region61927	NCBP2L (-63639)
Region61928	NCBP2L (-57809)
Region61929	NCBP2L (-32719)
Region61930	NCBP2L (-9909)
Region61931	TSC22D3 (-1478)
Region61932	MID2 (+340)
Region61933	VSIG1 (-43748)
Region61934	VSIG1 (-25833)
Region61935	PSMD10 (+103)
Region61936	COL4A5 (+9414)
Region61937	COL4A5 (+60334)
Region61938	GUCY2F (+128789)
Region61939	NXT2 (+1240)
Region61940	ACSL4 (+165)
Region61941	TMEM164 (-69370)
Region61942	TMEM164 (-542)
Region61943	AMMECR1 (+204)
Region61944	PAK3 (-75979)
Region61945	PAK3 (-24227)
Region61946	CAPN6 (-40728)
Region61947	ALG13 (-6049)
Region61948	ALG13 (+348)
Region61949	ALG13 (+148930)
Region61950	RTL4 (-70304)
Region61951	LHFPL1 (-152)
Region61952	AMOT (-17514)
Region61953	AMOT (-18208)
Region61954	HTR2C (-547604)
Region61955	HTR2C (-244110)
Region61956	PLS3 (+90745)
Region61957	PLS3 (+114880)
Region61958	AGTR2 (-274633)
Region61959	AGTR2 (+110519)
Region61960	CT83 (-50797)
Region61961	KLHL13 (+683495)
Region61962	KLHL13 (+682927)
Region61963	KLHL13 (-131225)
Region61964	WDR44 (+122)
Region61965	WDR44 (+52444)
Region61966	DOCK11 (-594)
Region61967	DOCK11 (+455)
Region61968	DOCK11 (+32488)
Region61969	DOCK11 (+40522)
Region61970	ZCCHC12 (+333)
Region61971	ZCCHC12 (+15765)
Region61972	LONRF3 (+570)
Region61973	PGRMC1 (+97)
Region61974	SLC25A43 (-48573)
Region61975	SLC25A43 (+458)
Region61976	SLC25A43 (+28154)
Region61977	SLC25A5 (+586)
Region61978	SLC25A5 (+14482)
Region61979	UBE2A (-45455)
Region61980	UBE2A (-9116)
Region61981	UBE2A (+205)
Region61982	NKRF (-296)
Region61983	SEPT6 (+14679)
Region61984	SEPT6 (+11089)
Region61985	SEPT6 (+6693)
Region61986	SEPT6 (+849)
Region61987	SEPT6 (+31)
Region61988	RPL39 (+37754)
Region61989	RPL39 (-290)
Region61990	UPF3B (-65)
Region61991	UPF3B (-1429)
Region61992	NDUFA1 (-508)
Region61993	RNF113A (-21)
Region61994	NKAP (+175)
Region61995	NKAP (-817)
Region61996	NKAP (-12701)
Region61997	RHOXF2B (+11258)
Region61998	ZBTB33 (-5694)
Region61999	ZBTB33 (+117)
Region62000	TMEM255A (+1860)
Region62001	LAMP2 (+11214)
Region62002	LAMP2 (+611)
Region62003	LAMP2 (+57)
Region62004	LAMP2 (-16796)
Region62005	LAMP2 (-29995)
Region62006	CUL4B (+14572)
Region62007	MCTS1 (-56)
Region62008	C1GALT1C1 (+19)
Region62009	C1GALT1C1 (-67042)
Region62010	GLUD2 (+206115)
Region62011	GRIA3 (+192000)
Region62012	THOC2 (+260167)
Region62013	THOC2 (+142)
Region62014	XIAP (+38)
Region62015	STAG2 (-133)
Region62016	SH2D1A (-128388)
Region62017	SH2D1A (+51181)
Region62018	SH2D1A (+303107)
Region62019	TENM1 (+226675)
Region62020	TEX13C (-116566)
Region62021	DCAF12L1 (-88661)
Region62022	ACTRT1 (-104077)
Region62023	ACTRT1 (-496354)
Region62024	ACTRT1 (-605222)
Region62025	ACTRT1 (-728671)
Region62026	APLN (+469)
Region62027	XPNPEP2 (-32058)
Region62028	XPNPEP2 (+6219)
Region62029	SASH3 (+1643)
Region62030	SASH3 (+10984)
Region62031	ZDHHC9 (+3)
Region62032	UTP14A (-101)
Region62033	UTP14A (+25649)
Region62034	UTP14A (+26516)
Region62035	BCORL1 (-47725)
Region62036	BCORL1 (-43524)
Region62037	BCORL1 (-22693)
Region62038	BCORL1 (-21548)
Region62039	ELF4 (+50767)
Region62040	ELF4 (+50158)
Region62041	ELF4 (+49716)
Region62042	ELF4 (+27933)
Region62043	ELF4 (+23304)
Region62044	ELF4 (+18126)
Region62045	ELF4 (-10390)
Region62046	AIFM1 (+158)
Region62047	RAB33A (-449)
Region62048	RAB33A (+20562)
Region62049	ZNF280C (+195)
Region62050	SLC25A14 (-1076)
Region62051	SLC25A14 (+42)
Region62052	RBMX2 (-148)
Region62053	ENOX2 (+38)
Region62054	OR13H1 (+160433)
Region62055	OR13H1 (+185134)
Region62056	OR13H1 (+197260)
Region62057	OR13H1 (+197729)
Region62058	OR13H1 (+208671)
Region62059	OR13H1 (+219121)
Region62060	OR13H1 (+220246)
Region62061	STK26 (-230351)
Region62062	STK26 (-210098)
Region62063	STK26 (-188428)
Region62064	STK26 (-181628)
Region62065	STK26 (-37364)
Region62066	STK26 (+138)
Region62067	RAP2C (+740)
Region62068	RAP2C (-279)
Region62069	MBNL3 (-49848)
Region62070	HS6ST2 (+1288)
Region62071	GPC3 (+235987)
Region62072	GPC3 (+24)
Region62073	GPC3 (-186438)
Region62074	PHF6 (+65)
Region62075	PHF6 (+21605)
Region62076	HPRT1 (+240)
Region62077	MOSPD1 (+118093)
Region62078	MOSPD1 (+107941)
Region62079	MOSPD1 (+106257)
Region62080	MOSPD1 (+275)
Region62081	SMIM10 (-36015)
Region62082	SMIM10 (+13338)
Region62083	RTL8B (+402)
Region62084	RTL8A (+89)
Region62085	RTL8A (-34393)
Region62086	RTL8A (-36181)
Region62087	RTL8A (-46555)
Region62088	ZNF449 (-252)
Region62089	ZNF449 (+77065)
Region62090	ZNF449 (+77515)
Region62091	ZNF449 (+84126)
Region62092	ZNF449 (+175977)
Region62093	ZNF449 (+177013)
Region62094	MMGT1 (+262)
Region62095	MMGT1 (-607)
Region62096	SLC9A6 (-11)
Region62097	FHL1 (-78421)
Region62098	FHL1 (+3918)
Region62099	HTATSF1 (-40)
Region62100	VGLL1 (+45446)
Region62101	CD40LG (-20819)
Region62102	ARHGEF6 (+14337)
Region62103	RBMX (+119)
Region62104	RBMX (-28885)
Region62105	RBMX (-44741)
Region62106	RBMX (-61324)
Region62107	GPR101 (+192)
Region62108	GPR101 (-21101)
Region62109	ZIC3 (-137727)
Region62110	ZIC3 (-17365)
Region62111	FGF13 (+492922)
Region62112	FGF13 (+459401)
Region62113	CXorf66 (+33180)
Region62114	CXorf66 (+32463)
Region62115	CDR1 (+8585)
Region62116	LDOC1 (+113)
Region62117	LDOC1 (-299)
Region62118	LDOC1 (-11777)
Region62119	SPANXA1 (+7564)
Region62120	MAGEC1 (+78718)
Region62121	MAGEC2 (-39555)
Region62122	MAGEC2 (-523796)
Region62123	MAGEC2 (-714141)
Region62124	SLITRK4 (+662268)
Region62125	SLITRK4 (+192182)
Region62126	SLITRK4 (-92080)
Region62127	SLITRK4 (-132412)
Region62128	NONE
Region62129	SLITRK2 (-498536)
Region62130	TMEM257 (+96951)
Region62131	TMEM257 (+469968)
Region62132	NONE
Region62133	FMR1 (-377)
Region62134	FMR1NB (+38771)
Region62135	AFF2 (-2554)
Region62136	AFF2 (+327)
Region62137	IDS (+431065)
Region62138	IDS (+425080)
Region62139	IDS (+2232)
Region62140	IDS (+1717)
Region62141	IDS (+24)
Region62142	ENSG00000241489 (+8267)
Region62143	CXorf40A (-843)
Region62144	CXorf40A (+394)
Region62145	TMEM185A (+245)
Region62146	MAGEA9 (+2749)
Region62147	HSFX4 (+8878)
Region62148	HSFX4 (+10576)
Region62149	HSFX4 (+171519)
Region62150	MAMLD1 (-72718)
Region62151	MAMLD1 (+917)
Region62152	MAMLD1 (+7492)
Region62153	MTM1 (-20735)
Region62154	MTM1 (+63)
Region62155	MTMR1 (+112)
Region62156	MTMR1 (+49018)
Region62157	MTMR1 (+79193)
Region62158	MTMR1 (+83101)
Region62159	CD99L2 (+125)
Region62160	HMGB3 (+120)
Region62161	GPR50 (-94104)
Region62162	GPR50 (+3592)
Region62163	VMA21 (-162)
Region62164	VMA21 (+519)
Region62165	PRRG3 (-19376)
Region62166	PRRG3 (-3067)
Region62167	CNGA2 (+42074)
Region62168	MAGEA10 (+28661)
Region62169	MAGEA10 (+2781)
Region62170	MAGEA3 (-17281)
Region62171	CETN2 (-85)
Region62172	NSDHL (+333)
Region62173	NSDHL (+15279)
Region62174	ZNF185 (+27288)
Region62175	PNMA5 (+33204)
Region62176	PNMA5 (-12803)
Region62177	PNMA3 (-24027)
Region62178	ZNF275 (-15216)
Region62179	ZNF275 (-14565)
Region62180	ZNF275 (+127)
Region62181	ZNF275 (+12270)
Region62182	ZFP92 (-37367)
Region62183	ZFP92 (-35647)
Region62184	ZFP92 (-6453)
Region62185	TREX2 (+73)
Region62186	BGN (+12706)
Region62187	ATP2B3 (-10494)
Region62188	ATP2B3 (+2632)
Region62189	ATP2B3 (+3688)
Region62190	FAM58A (+23497)
Region62191	FAM58A (+16055)
Region62192	FAM58A (+269)
Region62193	FAM58A (-10936)
Region62194	DUSP9 (-4693)
Region62195	DUSP9 (+3046)
Region62196	ABCD1 (-187)
Region62197	PLXNB3 (-19642)
Region62198	IDH3G (+190)
Region62199	IDH3G (-406)
Region62200	ARHGAP4 (-711)
Region62201	ARHGAP4 (-1988)
Region62202	NAA10 (+189)
Region62203	RENBP (-8924)
Region62204	HCFC1 (-94)
Region62205	IRAK1 (+6618)
Region62206	IRAK1 (-65)
Region62207	IRAK1 (-25550)
Region62208	IRAK1 (-31123)
Region62209	MECP2 (+86)
Region62210	OPN1LW (-20445)
Region62211	OPN1LW (-7318)
Region62212	OPN1LW (-3099)
Region62213	OPN1LW (-336)
Region62214	OPN1MW (-9687)
Region62215	OPN1MW2 (-9742)
Region62216	OPN1MW3 (-9629)
Region62217	TEX28 (+10271)
Region62218	TKTL1 (+21941)
Region62219	TKTL1 (+31537)
Region62220	FLNA (+32616)
Region62221	FLNA (+5580)
Region62222	FLNA (+5161)
Region62223	FLNA (+3295)
Region62224	EMD (-236)
Region62225	RPL10 (-8201)
Region62226	RPL10 (+10)
Region62227	TAZ (+212)
Region62228	ATP6AP1 (-8)
Region62229	GDI1 (+459)
Region62230	PLXNA3 (+26)
Region62231	LAGE3 (+4)
Region62232	SLC10A3 (+65)
Region62233	FAM3A (-275)
Region62234	G6PD (-7)
Region62235	CTAG1A (+15498)
Region62236	GAB3 (+1876)
Region62237	GAB3 (+330)
Region62238	GAB3 (+2)
Region62239	DKC1 (+153)
Region62240	MPP1 (-88)
Region62241	F8A1 (+31887)
Region62242	FUNDC2 (+419)
Region62243	MTCP1 (-66)
Region62244	VBP1 (+27)
Region62245	RAB39B (+247)
Region62246	H2AFB2 (-6689)
Region62247	F8A2 (+309)
Region62248	TMLHE (+383)
Region62249	VAMP7 (-23002)
Region62250	VAMP7 (-88)
Region62251	VAMP7 (+3715)
Region62252	VAMP7 (+39046)
Region62253	IL9R (-20671)
Region62254	NONE
Region62255	DDX3Y (+913)
Region62256	EIF1AY (-57)
Region62257	CDY1 (+719824)
Region62258	CDY1 (+781230)
Region62259	SAMD11 (-98276)
Region62260	SAMD11 (-84308)
Region62261	SAMD11 (-67434)
Region62262	SAMD11 (-55806)
Region62263	SAMD11 (-48454)
Region62264	SAMD11 (-42899)
Region62265	SAMD11 (-36135)
Region62266	SAMD11 (-21452)
Region62267	SAMD11 (-20534)
Region62268	NOC2L (-333)
Region62269	KLHL17 (+42)
Region62270	PLEKHN1 (+139)
Region62271	PERM1 (-3239)
Region62272	HES4 (+3672)
Region62273	HES4 (+70)
Region62274	ISG15 (+187)
Region62275	AGRN (-595)
Region62276	AGRN (-18)
Region62277	AGRN (+13180)
Region62278	AGRN (+20567)
Region62279	RNF223 (+14830)
Region62280	RNF223 (+9984)
Region62281	RNF223 (+5485)
Region62282	RNF223 (+4940)
Region62283	RNF223 (-4123)
Region62284	RNF223 (-4929)
Region62285	C1orf159 (+16635)
Region62286	C1orf159 (+9172)
Region62287	C1orf159 (-329)
Region62288	C1orf159 (-28481)
Region62289	TTLL10 (-16024)
Region62290	TNFRSF18 (+5023)
Region62291	SDF4 (-112)
Region62292	C1QTNF12 (-2636)
Region62293	C1QTNF12 (-4258)
Region62294	UBE2J2 (-112)
Region62295	SCNN1D (+8136)
Region62296	ACAP3 (-217)
Region62297	CPTP (+173)
Region62298	DVL1 (-224)
Region62299	AURKAIP1 (+3486)
Region62300	AURKAIP1 (-126)
Region62301	AURKAIP1 (-5793)
Region62302	AURKAIP1 (-7326)
Region62303	CCNL2 (-209)
Region62304	MRPL20 (-197)
Region62305	TMEM88B (-5818)
Region62306	TMEM88B (+500)
Region62307	ATAD3B (-62)
Region62308	ATAD3A (-17167)
Region62309	ATAD3A (-6952)
Region62310	ATAD3A (-280)
Region62311	SSU72 (+11549)
Region62312	SSU72 (+37)
Region62313	MIB2 (+160)
Region62314	MMP23B (-2375)
Region62315	MMP23B (-1789)
Region62316	CDK11B (+6028)
Region62317	CDK11B (+874)
Region62318	CDK11B (+27)
Region62319	CDK11B (-6701)
Region62320	CDK11B (-7323)
Region62321	SLC35E2B (+14508)
Region62322	SLC35E2B (-328)
Region62323	CDK11A (-134)
Region62324	SLC35E2 (+6971)
Region62325	SLC35E2 (-280)
Region62326	NADK (+1462)
Region62327	NADK (-36095)
Region62328	GNB1 (+43672)
Region62329	GNB1 (+35473)
Region62330	GNB1 (+10198)
Region62331	GNB1 (-26)
Region62332	CALML6 (-5699)
Region62333	TMEM52 (-274)
Region62334	TMEM52 (-25028)
Region62335	CFAP74 (+39457)
Region62336	CFAP74 (-4746)
Region62337	CFAP74 (-5822)
Region62338	CFAP74 (-6488)
Region62339	PRKCZ (-5373)
Region62340	PRKCZ (-157)
Region62341	PRKCZ (+31375)
Region62342	PRKCZ (+71392)
Region62343	FAAP20 (+70519)
Region62344	FAAP20 (+61268)
Region62345	FAAP20 (+48087)
Region62346	FAAP20 (+45818)
Region62347	FAAP20 (+36776)
Region62348	FAAP20 (+31216)
Region62349	FAAP20 (+5184)
Region62350	FAAP20 (-317)
Region62351	FAAP20 (-4592)
Region62352	FAAP20 (-9879)
Region62353	FAAP20 (-10731)
Region62354	SKI (-1144)
Region62355	SKI (+6008)
Region62356	SKI (+27317)
Region62357	SKI (+46317)
Region62358	SKI (+62138)
Region62359	SKI (+72386)
Region62360	RER1 (-76463)
Region62361	RER1 (-67124)
Region62362	RER1 (-44689)
Region62363	RER1 (-26226)
Region62364	RER1 (-158)
Region62365	PEX10 (-245)
Region62366	PEX10 (-28013)
Region62367	PANK4 (+3773)
Region62368	PANK4 (+2654)
Region62369	PANK4 (+173)
Region62370	TNFRSF14 (-9851)
Region62371	TNFRSF14 (-9106)
Region62372	TNFRSF14 (-7789)
Region62373	TNFRSF14 (-769)
Region62374	TNFRSF14 (+122)
Region62375	FAM213B (-8310)
Region62376	FAM213B (-1007)
Region62377	FAM213B (-46)
Region62378	MMEL1 (+8770)
Region62379	MMEL1 (+4600)
Region62380	MMEL1 (+4000)
Region62381	MMEL1 (-10066)
Region62382	MMEL1 (-20733)
Region62383	MMEL1 (-22736)
Region62384	MMEL1 (-31745)
Region62385	MMEL1 (-42131)
Region62386	MMEL1 (-51020)
Region62387	MMEL1 (-55262)
Region62388	MMEL1 (-62871)
Region62389	MMEL1 (-64617)
Region62390	MMEL1 (-113812)
Region62391	MMEL1 (-114593)
Region62392	MMEL1 (-115633)
Region62393	MMEL1 (-117020)
Region62394	MMEL1 (-117704)
Region62395	MMEL1 (-120031)
Region62396	MMEL1 (-123777)
Region62397	MMEL1 (-124627)
Region62398	MMEL1 (-125739)
Region62399	MMEL1 (-126712)
Region62400	MMEL1 (-140125)
Region62401	MMEL1 (-144070)
Region62402	MMEL1 (-154344)
Region62403	MMEL1 (-189245)
Region62404	ACTRT2 (-180962)
Region62405	ACTRT2 (-172199)
Region62406	ACTRT2 (-126711)
Region62407	ACTRT2 (-94682)
Region62408	ACTRT2 (+20993)
Region62409	PRDM16 (+112320)
Region62410	ARHGEF16 (-137747)
Region62411	ARHGEF16 (-116057)
Region62412	ARHGEF16 (-11934)
Region62413	ARHGEF16 (-1040)
Region62414	ARHGEF16 (+21899)
Region62415	ARHGEF16 (+37002)
Region62416	ARHGEF16 (+76921)
Region62417	MEGF6 (+27996)
Region62418	MEGF6 (+69)
Region62419	TPRG1L (-5834)
Region62420	TPRG1L (-34)
Region62421	WRAP73 (+38)
Region62422	TP73 (+101)
Region62423	TP73 (+11604)
Region62424	SMIM1 (-25720)
Region62425	SMIM1 (-191)
Region62426	LRRC47 (+13)
Region62427	CEP104 (+12920)
Region62428	DFFB (+59)
Region62429	DFFB (+19607)
Region62430	C1orf174 (+18673)
Region62431	C1orf174 (+12915)
Region62432	C1orf174 (-456)
Region62433	C1orf174 (-10474)
Region62434	C1orf174 (-10890)
Region62435	C1orf174 (-65022)
Region62436	C1orf174 (-69960)
Region62437	C1orf174 (-87280)
Region62438	C1orf174 (-119431)
Region62439	C1orf174 (-121319)
Region62440	C1orf174 (-142514)
Region62441	C1orf174 (-167872)
Region62442	C1orf174 (-177976)
Region62443	AJAP1 (-351891)
Region62444	AJAP1 (-326690)
Region62445	AJAP1 (-288071)
Region62446	AJAP1 (-259358)
Region62447	AJAP1 (-214159)
Region62448	AJAP1 (-191187)
Region62449	AJAP1 (-91800)
Region62450	AJAP1 (-69397)
Region62451	AJAP1 (-16919)
Region62452	AJAP1 (-2209)
Region62453	AJAP1 (+17615)
Region62454	AJAP1 (+49669)
Region62455	AJAP1 (+105118)
Region62456	AJAP1 (+146658)
Region62457	AJAP1 (+169773)
Region62458	AJAP1 (+216590)
Region62459	AJAP1 (+243398)
Region62460	AJAP1 (+284489)
Region62461	AJAP1 (+324072)
Region62462	AJAP1 (+349904)
Region62463	AJAP1 (+359297)
Region62464	AJAP1 (+399072)
Region62465	AJAP1 (+443546)
Region62466	AJAP1 (+455857)
Region62467	AJAP1 (+516392)
Region62468	AJAP1 (+610084)
Region62469	AJAP1 (+632625)
Region62470	AJAP1 (+633076)
Region62471	NPHP4 (+642245)
Region62472	NPHP4 (+598564)
Region62473	NPHP4 (+591233)
Region62474	NPHP4 (+513017)
Region62475	NPHP4 (+482487)
Region62476	NPHP4 (+464204)
Region62477	NPHP4 (+462072)
Region62478	NPHP4 (+457105)
Region62479	NPHP4 (+392350)
Region62480	NPHP4 (+325281)
Region62481	NPHP4 (+259412)
Region62482	NPHP4 (+196368)
Region62483	NPHP4 (+167083)
Region62484	NPHP4 (+100294)
Region62485	NPHP4 (+55355)
Region62486	NPHP4 (+50068)
Region62487	NPHP4 (+16820)
Region62488	NPHP4 (+108)
Region62489	NPHP4 (-20609)
Region62490	KCNAB2 (-19650)
Region62491	KCNAB2 (-18942)
Region62492	KCNAB2 (-17565)
Region62493	CHD5 (+51846)
Region62494	CHD5 (-785)
Region62495	CHD5 (-9508)
Region62496	RPL22 (-114)
Region62497	ICMT (+10432)
Region62498	ICMT (+110)
Region62499	GPR153 (-240)
Region62500	ACOT7 (+37019)
Region62501	ACOT7 (-7644)
Region62502	ACOT7 (-13070)
Region62503	ESPN (+13567)
Region62504	ESPN (+15892)
Region62505	TNFRSF25 (+5789)
Region62506	TNFRSF25 (+388)
Region62507	TNFRSF25 (-151)
Region62508	TNFRSF25 (-9498)
Region62509	TNFRSF25 (-11915)
Region62510	PLEKHG5 (+10470)
Region62511	PLEKHG5 (+6611)
Region62512	PLEKHG5 (-360)
Region62513	PLEKHG5 (-25615)
Region62514	NOL9 (+156)
Region62515	TAS1R1 (+4885)
Region62516	ZBTB48 (-171)
Region62517	KLHL21 (-45)
Region62518	PHF13 (-36)
Region62519	THAP3 (+567)
Region62520	THAP3 (+9467)
Region62521	DNAJC11 (+83)
Region62522	DNAJC11 (-41569)
Region62523	CAMTA1 (-26877)
Region62524	CAMTA1 (-247)
Region62525	CAMTA1 (+23371)
Region62526	CAMTA1 (+31189)
Region62527	CAMTA1 (+43427)
Region62528	CAMTA1 (+104972)
Region62529	CAMTA1 (+122165)
Region62530	CAMTA1 (+131676)
Region62531	CAMTA1 (+153225)
Region62532	CAMTA1 (+178273)
Region62533	CAMTA1 (+235625)
Region62534	VAMP3 (-491195)
Region62535	VAMP3 (-382855)
Region62536	VAMP3 (-378155)
Region62537	VAMP3 (-358204)
Region62538	VAMP3 (-244213)
Region62539	VAMP3 (-230562)
Region62540	VAMP3 (-219574)
Region62541	VAMP3 (-170009)
Region62542	VAMP3 (-146440)
Region62543	VAMP3 (-66385)
Region62544	VAMP3 (+26)
Region62545	PER3 (-982)
Region62546	PER3 (-112)
Region62547	PER3 (+11460)
Region62548	TNFRSF9 (+41080)
Region62549	TNFRSF9 (+40347)
Region62550	TNFRSF9 (+16343)
Region62551	TNFRSF9 (+425)
Region62552	TNFRSF9 (-8661)
Region62553	PARK7 (-8554)
Region62554	PARK7 (-7444)
Region62555	PARK7 (-111)
Region62556	PARK7 (+28729)
Region62557	ERRFI1 (+17247)
Region62558	ERRFI1 (-45)
Region62559	ERRFI1 (-39020)
Region62560	ERRFI1 (-53373)
Region62561	ERRFI1 (-127010)
Region62562	ERRFI1 (-143329)
Region62563	ERRFI1 (-144038)
Region62564	SLC45A1 (-69702)
Region62565	SLC45A1 (-69161)
Region62566	SLC45A1 (-65477)
Region62567	SLC45A1 (-60930)
Region62568	SLC45A1 (-41524)
Region62569	SLC45A1 (+545)
Region62570	SLC45A1 (+62137)
Region62571	SLC45A1 (+72066)
Region62572	SLC45A1 (+75423)
Region62573	SLC45A1 (+79274)
Region62574	SLC45A1 (+105788)
Region62575	SLC45A1 (+106759)
Region62576	SLC45A1 (+122692)
Region62577	SLC45A1 (+128291)
Region62578	SLC45A1 (+155090)
Region62579	SLC45A1 (+160009)
Region62580	SLC45A1 (+172219)
Region62581	SLC45A1 (+183486)
Region62582	SLC45A1 (+184079)
Region62583	SLC45A1 (+202556)
Region62584	SLC45A1 (+207944)
Region62585	RERE (+116024)
Region62586	RERE (+90247)
Region62587	RERE (+6177)
Region62588	RERE (-95)
Region62589	RERE (-11862)
Region62590	ENO1 (+19569)
Region62591	ENO1 (+15330)
Region62592	ENO1 (-71)
Region62593	ENO1 (-12566)
Region62594	CA6 (-19071)
Region62595	CA6 (-18443)
Region62596	CA6 (+17068)
Region62597	CA6 (+18891)
Region62598	CA6 (+25375)
Region62599	SLC2A7 (+39555)
Region62600	SLC2A7 (+37954)
Region62601	SLC2A7 (+20917)
Region62602	SLC2A5 (+19832)
Region62603	SLC2A5 (+5882)
Region62604	SLC2A5 (-16169)
Region62605	SLC2A5 (-29049)
Region62606	GPR157 (-81)
Region62607	H6PD (-48237)
Region62608	H6PD (-15577)
Region62609	H6PD (-15080)
Region62610	H6PD (-5091)
Region62611	H6PD (+17697)
Region62612	SPSB1 (+256)
Region62613	SPSB1 (+118339)
Region62614	SLC25A33 (-110562)
