"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD4_S145927","G09CD4_S145929","G48CD4_S145936","G58CD4_S145925","G70CD4_S145923","G44CD4_S145919","G50CD4_S145934","G52CD4_S145933","G81CD4_S145921","SYMBOL"
"524","chr15",91472194,91472594,401,"*",4.24824858166476,3.75767171185712,4.69219936047985,-0.716401908414536,0.0271785694487086,0.999820495462944,11.33,15.5,9.36,17.07,14.37,28.86,16.11,37.57,20.87,"CRAT37"
"525","chr8",9485257,9485657,401,"*",2.76873491005036,1.69452097843007,3.49673184095702,-1.55490775501844,0.0273007609574356,0.999820495462944,2.71,3.71,2.24,4.08,3.44,12.6,7.03,16.41,9.11,"TNKS"
"526","chr5",1168012,1168412,401,"*",4.74669885236705,4.33052982495345,5.13982396652044,-0.593182272917573,0.0273503166949137,0.999820495462944,16.86,23.06,13.92,25.39,21.38,39.36,21.97,51.24,28.46,"CTD-3080P12.3"
"527","chr7",30157169,30157569,401,"*",3.95897501012492,4.20436511956461,3.5785916336195,0.832222091593165,0.0273860222614992,0.999820495462944,15.45,21.13,12.75,23.26,19.59,13.34,7.45,17.36,9.64,"MTURN"
"528","chr1",147640804,147641204,401,"*",4.68900115729393,4.85068200739042,4.45752507810278,0.603398112176051,0.0273873781524655,0.999820495462944,24.17,33.07,19.96,36.41,30.66,24.53,13.69,31.93,17.74,"ACP6"
"529","chr19",45103213,45103613,401,"*",4.62685150670846,4.19654086591593,5.02998016335885,-0.61689701543729,0.0274093305045661,0.999820495462944,15.36,21.01,12.68,23.13,19.48,36.47,20.36,47.48,26.37,"PPP1R37"
"530","chr7",86385540,86385940,401,"*",3.50075080538493,3.82871856558287,2.94636114538204,1.08231376617817,0.0274434284605363,0.999820495462944,11.9,16.28,9.83,17.93,15.1,8.6,4.8,11.2,6.22,"GRM3"
"531","chr2",106094526,106094926,401,"*",4.98219663386448,5.1216391475453,4.78649929674284,0.546272078881206,0.0274475535553091,0.999820495462944,29.17,39.9,24.08,43.93,37,30.81,17.2,40.11,22.28,"UXS1"
"532","chr2",39124209,39124609,401,"*",6.41186574766139,6.49888359227331,6.29514965265534,0.416399963005241,0.0275168564585956,0.999820495462944,75.77,103.65,62.56,114.11,96.11,87.66,48.94,114.13,63.39,"SOS1"
"533","chr5",83998320,83998720,401,"*",3.5315308069795,3.85929578937379,2.97760828545754,1.08261636684188,0.0275743272396006,0.999820495462944,12.16,16.63,10.04,18.31,15.42,8.79,4.91,11.45,6.36,"EDIL3"
"534","chr6",67529495,67529895,401,"*",3.40164878676672,3.74723965941178,2.80581268080473,1.13882518103941,0.0276845815086377,0.999820495462944,11.25,15.39,9.29,16.94,14.27,7.81,4.36,10.16,5.64,"LOC102723883"
"535","chr10",69451308,69451708,401,"*",5.47321246056649,5.12881117947704,5.8128704084492,-0.469493678152997,0.0276871927069966,0.999820495462944,29.31,40.1,24.2,44.15,37.18,62.75,35.03,81.7,45.38,"TSPAN15"
"536","chr12",104286730,104287130,401,"*",5.92843666321723,6.02312122965207,5.8006115619265,0.434902598181703,0.0277199825931646,0.999820495462944,54.49,74.53,44.99,82.06,69.11,62.22,34.74,81.01,45,"TXNRD1"
"537","chr1",35901792,35902192,401,"*",3.23838344857486,2.39494822118744,3.87377223909875,-1.24666989476223,0.0277774318247119,0.999820495462944,4.41,6.03,3.64,6.64,5.59,16.36,9.14,21.3,11.83,"AGO1"
"538","chr2",151840464,151840864,401,"*",3.23607905885235,3.61033535025146,2.56901263164105,1.23569544391472,0.027849029394732,0.999820495462944,10.23,14,8.45,15.41,12.98,6.62,3.7,8.62,4.79,"ARL5A"
"539","chr2",66554067,66554467,401,"*",3.06805914943455,2.16655600388309,3.72874972951894,-1.32518564690039,0.0278507625836723,0.999820495462944,3.76,5.15,3.11,5.66,4.77,14.8,8.26,19.27,10.7,"LINC01798"
"540","chr1",9426352,9426752,401,"*",5.32479620531466,5.44604773910184,5.15732573168805,0.500290277895226,0.0278777586875528,0.999820495462944,36.52,49.96,30.16,55,46.33,39.84,22.24,51.86,28.81,"LINC02606"
"541","chr1",52366081,52366481,401,"*",7.03405547194023,7.129203473867,6.90555420529718,0.436527725604641,0.0279394327182013,0.999820495462944,117.29,160.44,96.84,176.63,148.77,133.83,74.71,174.23,96.78,"CC2D1B"
"542","chr1",20383338,20383738,401,"*",2.89329862851492,1.85150670348007,3.6094952219131,-1.51529411024646,0.0279783333194921,0.999820495462944,3.02,4.14,2.5,4.55,3.83,13.62,7.61,17.74,9.85,"LINC01141"
"543","chr1",99849907,99850307,401,"*",5.97360217080003,6.06526159529428,5.85017775232298,0.42752243227554,0.0280252997677913,0.999820495462944,56.1,76.74,46.32,84.49,71.16,64.39,35.95,83.84,46.57,"AGL"
"544","chr2",74250238,74250638,401,"*",4.2439681261286,3.74852181223479,4.69109473844643,-0.724293839905425,0.0280984943719526,0.999820495462944,11.26,15.4,9.3,16.96,14.28,28.84,16.1,37.54,20.85,"SLC4A5"
"545","chr10",73785195,73785595,401,"*",6.12750281915228,6.21441702921798,6.01093590274992,0.416014603852412,0.028100304830945,0.999820495462944,62.21,85.1,51.36,93.69,78.91,71.98,40.19,93.72,52.06,"ZSWIM8"
"546","chr19",6890251,6890651,401,"*",3.88380039297997,3.30525836420641,4.38251059470692,-0.856311289967686,0.0281235900031654,0.999820495462944,8.28,11.33,6.84,12.47,10.5,23.28,13,30.31,16.84,"ADGRE1"
"547","chr2",3127798,3128198,401,"*",3.3702612624676,3.71776365702105,2.76982612021298,1.14569783444085,0.0281820395395573,0.999820495462944,11.02,15.08,9.1,16.6,13.98,7.61,4.25,9.91,5.51,"LINC01250"
"548","chr15",63191907,63192307,401,"*",5.62700584090835,5.72975806753761,5.48733296970672,0.45457643143343,0.0281984500064678,0.999820495462944,44.46,60.82,36.71,66.96,56.39,50.07,27.96,65.19,36.21,"RAB8B"
"549","chr5",149551351,149551751,401,"*",6.61835645781892,6.70493724096139,6.50226932148232,0.415440325805537,0.0282039243023341,0.999820495462944,87.41,119.56,72.16,131.63,110.86,101.19,56.49,131.75,73.18,"CSNK1A1"
"550","chr9",133284540,133284940,401,"*",3.18396947210688,3.5677454902292,2.49211955484187,1.26788993393367,0.0282088851919457,0.999820495462944,9.93,13.59,8.2,14.96,12.6,6.28,3.51,8.18,4.54,"ABO"
"551","chr16",3364851,3365251,401,"*",5.25946326868766,5.38223648832837,5.08966616034562,0.504127056708621,0.0282387845308238,0.999820495462944,34.94,47.8,28.85,52.62,44.32,38.01,21.22,49.49,27.49,"NAA60"
"552","chr12",87474423,87474823,401,"*",3.72983319575784,3.10492262662256,4.25532584968069,-0.927651097118335,0.0282664608031512,0.999820495462944,7.21,9.86,5.95,10.86,9.14,21.32,11.9,27.75,15.42,"MKRN9P"
"553","chr8",75665351,75665751,401,"*",3.46657908901822,2.75234760088779,4.04003876772646,-1.06161605727531,0.0282918074365053,0.999820495462944,5.65,7.72,4.66,8.5,7.16,18.36,10.25,23.91,13.28,"HNF4G"
"554","chr8",102123499,102123899,401,"*",4.31867118580666,3.84185488359758,4.75355080193614,-0.693781146856493,0.0283341734590023,0.999820495462944,12.01,16.43,9.92,18.09,15.24,30.11,16.81,39.2,21.78,"NCALD"
"555","chr6",158818732,158819132,401,"*",5.79153495081593,5.46477970764638,6.11731316903024,-0.438254019315062,0.0283464345459224,0.999820495462944,37,50.61,30.55,55.72,46.93,77.49,43.26,100.89,56.04,"EZR"
"556","chr16",62618892,62619292,401,"*",2.62558930337477,3.11768059030957,1.60201822497332,1.68251046925103,0.028422451717849,0.999820495462944,7.27,9.95,6,10.95,9.22,3.39,1.89,4.41,2.45,"CDH8"
"557","chr6",57961309,57961709,401,"*",5.15838826441077,5.28485111573117,4.98292388918733,0.513469498014803,0.0285113775586133,0.999820495462944,32.66,44.68,26.97,49.19,41.43,35.3,19.71,45.96,25.53,"LINC00680"
"558","chr12",57765111,57765511,401,"*",5.16996378073971,5.29567639799404,4.99565474368467,0.511590696999883,0.0285534575049712,0.999820495462944,32.91,45.02,27.17,49.56,41.74,35.61,19.88,46.37,25.75,"CYP27B1"
"559","chr17",75393680,75394080,401,"*",4.67468503113248,4.83877145935351,4.43925128552701,0.609685268226758,0.0285548315942904,0.999820495462944,23.98,32.8,19.79,36.11,30.41,24.22,13.52,31.53,17.51,"GRB2"
"560","chr3",97620938,97621338,401,"*",3.22201888970268,3.59457837482929,2.55930858866413,1.23025282583174,0.0285766095434702,0.999820495462944,10.12,13.84,8.36,15.24,12.84,6.58,3.67,8.57,4.76,"EPHA6"
"561","chr1",104063131,104063531,401,"*",2.09901338654486,2.67818292056473,0.71259686015938,2.09478622695215,0.0286276719069767,0.999820495462944,5.36,7.34,4.43,8.08,6.8,1.83,1.02,2.38,1.32,"LOC100129138"
"562","chr17",17994672,17995072,401,"*",3.55329024967789,2.85649853347055,4.1177383594493,-1.03590939738465,0.028628127909274,0.999820495462944,6.07,8.3,5.01,9.14,7.7,19.38,10.82,25.23,14.01,"DRC3"
"563","chr10",24622979,24623379,401,"*",4.61528353133105,4.78182335814817,4.37579539956982,0.616159568284077,0.0286434374277337,0.999820495462944,23.05,31.53,19.03,34.71,29.23,23.17,12.94,30.17,16.76,"ARHGAP21"
"564","chr17",3953164,3953564,401,"*",3.77074038637649,3.15563827294284,4.29068017103182,-0.912816814139703,0.0287227060878817,0.999820495462944,7.47,10.21,6.16,11.24,9.47,21.85,12.2,28.44,15.8,"ATP2A3"
"565","chr16",4601858,4602258,401,"*",3.74382282417224,3.10852359322559,4.27513282738389,-0.944232960953658,0.0287482020810052,0.999820495462944,7.23,9.88,5.97,10.88,9.17,21.61,12.07,28.14,15.63,"UBALD1"
"566","chr1",150567525,150567925,401,"*",5.11541714168673,4.74557100079074,5.47456575133133,-0.513870290249173,0.0287757289169097,0.999820495462944,22.48,30.74,18.56,33.85,28.51,49.63,27.71,64.62,35.89,"ADAMTSL4-AS1"
"567","chr21",9768203,9768603,401,"*",4.14322697136424,3.62729782172526,4.60352082123923,-0.757225944913237,0.0288056651359704,0.999820495462944,10.35,14.16,8.55,15.59,13.13,27.14,15.15,35.33,19.63,"LINC01667"
"568","chr3",45210476,45210876,401,"*",4.82090592611531,4.4205726125565,5.20262783974144,-0.566267298591768,0.0288074025779672,0.999820495462944,17.94,24.54,14.81,27.02,22.76,41.11,22.95,53.52,29.73,"TMEM158"
"569","chr10",27480806,27481206,401,"*",2.2324619776511,0.759881722672765,3.08012095311743,-2.03734264936946,0.0288883582030129,0.999820495462944,1.42,1.94,1.17,2.14,1.8,9.44,5.27,12.29,6.83,"RAB18"
"570","chr14",66094292,66094692,401,"*",3.66947857047592,3.01757747477875,4.20995091106473,-0.969100375621289,0.0289036606045039,0.999820495462944,6.78,9.28,5.6,10.22,8.61,20.66,11.53,26.9,14.94,"CCDC196"
"571","chr5",175561358,175561758,401,"*",2.60780166293768,1.40107361809485,3.38047903805574,-1.72240355778526,0.0289226766717068,0.999820495462944,2.21,3.03,1.83,3.33,2.81,11.62,6.49,15.13,8.41,"SFXN1"
"572","chr2",53994735,53995135,401,"*",5.13639884427766,5.26584652834699,4.95632275413675,0.520767582917588,0.0290813107538133,0.999820495462944,32.24,44.09,26.61,48.54,40.89,34.65,19.35,45.12,25.06,"ACYP2"
"573","chr7",158729843,158730243,401,"*",3.57961629806612,3.88019419927655,3.08642723062384,0.995587763013259,0.0291015471911582,0.999820495462944,12.34,16.88,10.19,18.58,15.65,9.48,5.29,12.34,6.86,"ESYT2"
"574","chr1",156090688,156091088,401,"*",4.88051826929465,5.02358741025682,4.67908360880658,0.555468935195172,0.0291027636692749,0.999820495462944,27.25,37.28,22.5,41.04,34.57,28.6,15.96,37.23,20.68,"LMNA"
"575","chr12",75478352,75478752,401,"*",4.72010954772256,4.87733296575088,4.49592097070309,0.591689544274587,0.0292230589017013,0.999820495462944,24.62,33.68,20.33,37.08,31.23,25.19,14.06,32.79,18.21,"GLIPR1"
"576","chr6",39824032,39824432,401,"*",3.32970729680979,3.6832361458939,2.71463562642316,1.1649904267501,0.0292419561167987,0.999820495462944,10.76,14.72,8.89,16.21,13.65,7.33,4.09,9.54,5.3,"DAAM2"
"577","chr3",128555274,128555674,401,"*",3.69145512141984,3.03941918818409,4.23200120984165,-0.969345675375252,0.0292449355091056,0.999820495462944,6.89,9.42,5.69,10.37,8.74,20.98,11.71,27.31,15.17,"LINC01565"
"578","chr10",111215468,111215868,401,"*",2.33313670091422,2.88662765368831,1.06591515756287,1.9648740784156,0.0293841113112158,0.999820495462944,6.2,8.48,5.12,9.33,7.86,2.34,1.3,3.04,1.69,"ADRA2A"
"579","chr5",160439018,160439418,401,"*",5.31562966603901,5.43044500673873,5.15793185526125,0.484266298078024,0.0293933713434779,0.999820495462944,36.13,49.42,29.83,54.41,45.83,39.85,22.25,51.89,28.82,"MIR3142HG"
"580","chr7",1926763,1927163,401,"*",4.93529527704848,4.54636560623964,5.30867068383855,-0.546694778226734,0.0293999652337651,0.999820495462944,19.58,26.78,16.16,29.48,24.83,44.24,24.7,57.6,32,"MAD1L1"
"581","chr7",30752441,30752841,401,"*",3.84852142611317,4.11624939379211,3.42405074414774,0.896951027532041,0.0294102684796713,0.999820495462944,14.53,19.88,12,21.88,18.43,11.98,6.69,15.6,8.66,"INMT-MINDY4"
"582","chr19",55369168,55369568,401,"*",4.40258627302239,3.94560643872298,4.82413310389434,-0.661101356735883,0.0294705410446065,0.999820495462944,12.91,17.66,10.66,19.44,16.37,31.62,17.65,41.17,22.87,"IL11"
"583","chr19",55592712,55593112,401,"*",4.11841235933272,3.59906213845598,4.58087570255347,-0.762822848642693,0.029560380311657,0.999820495462944,10.15,13.89,8.38,15.29,12.88,26.71,14.91,34.78,19.32,"FIZ1"
"584","chr2",168912892,168913292,401,"*",3.32260854553849,3.66326553215405,2.73854798066738,1.12234617641587,0.0295928799488663,0.999820495462944,10.61,14.52,8.76,15.99,13.46,7.45,4.16,9.7,5.39,"SPC25"
"585","chr7",71464073,71464473,401,"*",2.62449256922523,1.50059282529377,3.36988930263065,-1.61605835518563,0.0296183647445927,0.999820495462944,2.37,3.24,1.96,3.57,3.01,11.54,6.44,15.02,8.35,"GALNT17"
"586","chr1",46757394,46757794,401,"*",3.15513566393696,2.25211791384988,3.81646688942485,-1.3289760143706,0.0297571480171643,0.999820495462944,3.99,5.46,3.3,6.01,5.06,15.73,8.78,20.48,11.37,"CYP4B1"
"587","chr3",13650427,13650827,401,"*",5.50218286902384,5.60850343722145,5.35721717613018,0.463221222676226,0.0297944190088921,0.999820495462944,40.88,55.92,33.75,61.56,51.85,45.76,25.54,59.57,33.09,"LINC00620"
"588","chr19",52973484,52973884,401,"*",2.77051235637223,1.66423552997041,3.50982993210031,-1.59628467901724,0.02982169070318,0.999820495462944,2.66,3.63,2.19,4,3.37,12.72,7.1,16.55,9.2,"ZNF702P"
"589","chrX",11922788,11923188,401,"*",3.64456263213263,2.99287186837043,4.18491991280972,-0.96837328030213,0.0298509906029053,0.999820495462944,6.67,9.12,5.51,10.04,8.46,20.3,11.33,26.43,14.68,"FRMPD4"
"590","chr15",60840951,60841351,401,"*",4.36915871068197,3.90348171115164,4.79658897187231,-0.675673845760034,0.0298618612349625,0.999820495462944,12.54,17.15,10.35,18.88,15.9,31.02,17.32,40.39,22.44,"RORA"
"591","chr6",40265072,40265472,401,"*",3.43456543479779,3.76989972358417,2.86305701614898,1.10546969601624,0.0298742891128484,0.999820495462944,11.43,15.63,9.44,17.21,14.5,8.12,4.53,10.57,5.87,"TDRG1"
"592","chr1",100539320,100539720,401,"*",5.0571153257057,4.68091020639244,5.42104112047036,-0.524868494191596,0.0299131500456267,0.999820495462944,21.49,29.4,17.74,32.36,27.26,47.83,26.7,62.27,34.59,"GPR88"
"593","chr16",86317579,86317979,401,"*",3.49911387673616,2.7894198083795,4.07024482674143,-1.05500520751807,0.0299370269006151,0.999820495462944,5.79,7.92,4.78,8.72,7.35,18.75,10.47,24.41,13.56,"LINC00917"
"594","chr2",153669982,153670382,401,"*",3.5506516085938,2.87457093180765,4.104180175471,-1.00503961074886,0.0299991700766455,0.999820495462944,6.14,8.4,5.07,9.25,7.79,19.2,10.72,24.99,13.88,"RPRM"
"595","chr13",110812168,110812568,401,"*",3.9742772281438,3.41380757767453,4.46217334542894,-0.828128526695265,0.0300428671384215,0.999820495462944,8.93,12.21,7.37,13.45,11.33,24.6,13.74,32.03,17.79,"LINC00567"
"596","chr3",12993845,12994245,401,"*",4.82342660723608,4.42262681015346,5.20548752344232,-0.56685020720159,0.0300992078340398,0.999820495462944,17.97,24.58,14.83,27.06,22.79,41.19,22.99,53.62,29.79,"IQSEC1"
"597","chr12",46983257,46983657,401,"*",3.83711977259973,3.24198360935901,4.34557127782524,-0.882124629851846,0.0301636556045293,0.999820495462944,7.93,10.84,6.54,11.94,10.05,22.69,12.67,29.55,16.41,"PCED1B"
"598","chr2",54456016,54456416,401,"*",4.15382587143036,3.6488730146528,4.60710190013798,-0.739452820309323,0.0301696718140831,0.999820495462944,10.51,14.38,8.68,15.83,13.33,27.2,15.19,35.42,19.67,"SPTBN1"
"599","chr7",26166545,26166945,401,"*",3.3577208843963,2.61558448504143,3.9452618544646,-1.10200777123786,0.030232378804439,0.999820495462944,5.13,7.02,4.24,7.73,6.51,17.2,9.6,22.39,12.44,"NFE2L3"
"600","chr6",74645963,74646363,401,"*",3.62335574070766,2.97406968902727,4.16239570183358,-0.964871246602256,0.0303240431172737,0.999820495462944,6.58,9.01,5.44,9.91,8.35,19.99,11.16,26.02,14.46,"COL12A1"
"601","chr2",237700698,237701098,401,"*",4.35669629375033,3.89369614432632,4.7823220563993,-0.67103511758361,0.0303744125599947,0.999820495462944,12.45,17.03,10.28,18.75,15.79,30.72,17.15,39.99,22.21,"LRRFIP1"
"602","chr5",131209447,131209847,401,"*",5.40466770599537,5.51610840590592,5.25205031336608,0.475889576327549,0.0304294915877913,0.999820495462944,38.34,52.45,31.66,57.74,48.63,42.54,23.75,55.38,30.76,"HINT1"
"603","chr7",6991145,6991545,401,"*",4.62656877333899,4.7893787460253,4.39323723095318,0.606258135255869,0.0304358967304411,0.999820495462944,23.17,31.69,19.13,34.89,29.39,23.46,13.1,30.54,16.96,"MIR3683"
"604","chr12",121537179,121537579,401,"*",4.76449600366457,4.35580120783266,5.15226579039773,-0.580251864899393,0.030463459425997,0.999820495462944,17.15,23.47,14.16,25.83,21.76,39.7,22.16,51.68,28.71,"KDM2B"
"605","chr11",39137726,39138126,401,"*",3.67502351206034,3.0203980541358,4.2169838450581,-0.973030002304857,0.0304728786190912,0.999820495462944,6.8,9.3,5.61,10.24,8.62,20.76,11.59,27.03,15.01,"LINC01493"
"606","chr17",61451886,61452286,401,"*",4.38499522278338,3.92195912310009,4.810645257117,-0.671102502694863,0.0304742840214572,0.999820495462944,12.7,17.37,10.48,19.12,16.11,31.33,17.49,40.79,22.65,"TBX4"
"607","chr5",42252710,42253110,401,"*",2.85415346117366,1.8148795257476,3.56941835488823,-1.51166073144636,0.0304774288504428,0.999820495462944,2.95,4.03,2.43,4.44,3.74,13.25,7.4,17.25,9.58,"GHR"
"608","chr3",172750435,172750835,401,"*",6.73088553659105,6.81757725600459,6.6146388000588,0.415736011959015,0.030638055161654,0.999820495462944,94.5,129.27,78.02,142.32,119.87,109.39,61.07,142.42,79.11,"ECT2"
"609","chr3",131361428,131361828,401,"*",4.06049568476105,4.28611910001754,3.7174898582356,0.775909128729973,0.0306480077628679,0.999820495462944,16.35,22.36,13.5,24.62,20.73,14.68,8.2,19.12,10.62,"NUDT16-DT"
"610","chr9",31259873,31260273,401,"*",4.8028306084929,4.95774174346336,4.58239914095473,0.585663759424533,0.030682075360117,0.999820495462944,26.04,35.61,21.5,39.21,33.02,26.74,14.93,34.82,19.34,"LINC01243"
"611","chr4",1579201,1579601,401,"*",6.05206804663853,5.74082777512449,6.36538850618622,-0.410492574687938,0.030711448365197,0.999820495462944,44.8,61.29,36.99,67.47,56.83,92.03,51.38,119.82,66.56,"FAM53A"
"612","chr15",40471728,40472128,401,"*",4.4009932775745,4.58777800753721,4.12733586209499,0.669355783859699,0.0307146321653806,0.999820495462944,20.15,27.56,16.63,30.34,25.55,19.51,10.89,25.4,14.11,"CHST14"
"613","chr10",12915972,12916372,401,"*",3.49118525675728,2.80233558749959,4.05147432519023,-1.02373901994847,0.0307151918352877,0.999820495462944,5.84,7.99,4.83,8.8,7.41,18.51,10.33,24.1,13.39,"CCDC3"
"614","chr17",46225268,46225668,401,"*",5.70425984934601,5.36701523939009,6.03832514434675,-0.456977897669731,0.0307258230607721,0.999820495462944,34.58,47.3,28.55,52.07,43.86,73.36,40.96,95.52,53.06,"KANSL1"
"615","chr12",116305808,116306208,401,"*",2.67036202355629,1.56096481125591,3.41076329246934,-1.59958983788161,0.0307637233526273,0.999820495462944,2.47,3.38,2.04,3.72,3.14,11.87,6.63,15.46,8.59,"MED13L"
"616","chr2",96913574,96913974,401,"*",4.80083604652725,4.40206353341173,5.18142231885913,-0.563559371394515,0.0307963660527874,0.999820495462944,17.71,24.23,14.62,26.68,22.47,40.51,22.61,52.74,29.29,"FAM178B"
"617","chr10",57321159,57321559,401,"*",3.61009474716294,2.95389729541795,4.1529116979807,-0.974986633690169,0.0308410003605037,0.999820495462944,6.49,8.88,5.36,9.78,8.23,19.86,11.09,25.85,14.36,"MIR3924"
"618","chr16",80526441,80526841,401,"*",3.53380015299381,3.84094468137917,3.02627784558194,1.01571752844457,0.030841268216538,0.999820495462944,12.01,16.42,9.91,18.08,15.23,9.09,5.08,11.84,6.58,"DYNLRB2"
"619","chr11",107565479,107565879,401,"*",5.18416935964401,5.3062984910389,5.01535781010193,0.502492620911622,0.030925981600527,0.999820495462944,33.15,45.35,27.37,49.93,42.05,36.1,20.16,47,26.11,"ALKBH8"
"620","chr6",4210553,4210953,401,"*",4.17044819948893,4.38497394217783,3.84779312155779,0.744694239549086,0.0309500036054552,0.999820495462944,17.5,23.94,14.45,26.36,22.2,16.07,8.97,20.92,11.62,"LOC102724096"
"621","chr3",26986222,26986622,401,"*",2.80502836626333,1.79573671180706,3.50902592348873,-1.46884302222242,0.0309548101965489,0.999820495462944,2.91,3.98,2.4,4.38,3.69,12.71,7.09,16.55,9.19,"NEK10"
"622","chr6",159968804,159969204,401,"*",6.34534416997252,6.42687594296818,6.23648933683017,0.403063065723511,0.0310177073267026,0.999820495462944,72.08,98.6,59.51,108.55,91.43,84.16,46.99,109.58,60.87,"IGF2R"
"623","chr11",59755150,59755550,401,"*",5.32584020873717,4.97663425714942,5.66922522362965,-0.477832766596847,0.0310432595896432,0.999820495462944,26.38,36.08,21.78,39.73,33.46,56.8,31.71,73.95,41.08,"STX3"
"624","chrX",149631673,149632073,401,"*",4.65025153640786,4.23327889814035,5.04394961385816,-0.594355958826967,0.03104914836605,0.999820495462944,15.76,21.55,13.01,23.73,19.99,36.82,20.56,47.94,26.63,"TMEM185A"
"625","chr1",36342501,36342901,401,"*",4.11919329133595,3.60914301151215,4.57573930508833,-0.747649944286091,0.0310685267873752,0.999820495462944,10.22,13.99,8.44,15.4,12.97,26.62,14.86,34.66,19.25,"EVA1B"
"626","chr5",21459237,21459637,401,"*",5.25241523291431,5.36894910361451,5.09211874973268,0.488459189023982,0.0311034228612992,0.999820495462944,34.62,47.36,28.59,52.14,43.92,38.08,21.26,49.57,27.54,"GUSBP1"
"627","chr4",47914510,47914910,401,"*",6.36396612885602,6.44968575184358,6.24911689694498,0.41324390230727,0.0311238260677847,0.999820495462944,73.23,100.17,60.46,110.28,92.89,84.9,47.4,110.54,61.4,"NFXL1"
"628","chr1",19468348,19468748,401,"*",4.67295987397459,4.25914673654983,5.06440211596883,-0.589009143454392,0.0311534917705967,0.999820495462944,16.04,21.94,13.25,24.16,20.35,37.35,20.85,48.63,27.01,"MICOS10"
"629","chr15",34224844,34225244,401,"*",5.24460572850912,5.36136569708616,5.08396677234555,0.489037805063768,0.0311901699190669,0.999820495462944,34.44,47.11,28.44,51.87,43.68,37.86,21.14,49.29,27.38,"EMC4"
"630","chr1",195992045,195992445,401,"*",2.66878188446377,3.16084054533758,1.64532740968154,1.68545436308026,0.0312000204158614,0.999820495462944,7.49,10.25,6.19,11.28,9.5,3.49,1.95,4.55,2.53,"LINC01724"
"631","chr17",28280739,28281139,401,"*",2.89718422584105,1.90850108077066,3.59324756004344,-1.44407616801061,0.0312877452892184,0.999820495462944,3.15,4.3,2.6,4.74,3.99,13.47,7.52,17.54,9.74,"KRT18P55"
"632","chr3",47521986,47522386,401,"*",4.1967862380905,3.70485773284786,4.64162032527296,-0.718457498015035,0.0313112706468629,0.999820495462944,10.93,14.94,9.02,16.45,13.86,27.86,15.56,36.28,20.15,"ELP6"
"633","chr2",197804320,197804720,401,"*",6.18464807628446,6.26889469040626,6.07191210376736,0.409570384909447,0.031365480213921,0.999820495462944,64.61,88.37,53.34,97.29,81.95,75.09,41.92,97.77,54.31,"PLCL1"
"634","chr13",46184315,46184715,401,"*",4.7871872222869,4.38599243534677,5.16953503731582,-0.567701956968899,0.0313813775003362,0.999820495462944,17.52,23.96,14.46,26.38,22.22,40.17,22.43,52.3,29.05,"LCP1"
"635","chr10",82136433,82136833,401,"*",3.41634232131658,2.67335568031473,4.00430594834842,-1.10390261782831,0.0314091135280104,0.999820495462944,5.34,7.31,4.41,8.05,6.78,17.91,10,23.32,12.95,"NRG3-AS1"
"636","chr4",160676208,160676608,401,"*",3.01985349734321,3.41987618877683,2.28430386002166,1.32443871766221,0.0314257695628136,0.999820495462944,8.97,12.27,7.4,13.5,11.37,5.44,3.04,7.08,3.93,"FSTL5"
"637","chr6",137497681,137498081,401,"*",4.54105461377309,4.10787894645949,4.94618965992462,-0.621663589828204,0.0314472072633312,0.999820495462944,14.45,19.76,11.93,21.76,18.32,34.41,19.21,44.8,24.89,"OLIG3"
"638","chrX",3843203,3843603,401,"*",2.47125710908242,2.99996164642247,1.30866269411593,1.84915834755747,0.0315123708064498,0.999820495462944,6.7,9.17,5.53,10.09,8.5,2.77,1.54,3.6,2,"LOC389906"
"639","chr6",41787266,41787666,401,"*",6.5233588722399,6.60620198090786,6.41263156782753,0.406322970815056,0.0316337760628928,0.999820495462944,81.62,111.65,67.39,122.92,103.53,95.09,53.09,123.81,68.77,"TOMM6"
"640","chr10",11017910,11018310,401,"*",4.60912588591234,4.18430025331176,5.00839439609738,-0.607680030615625,0.0316578831651457,0.999820495462944,15.23,20.84,12.58,22.94,19.32,35.93,20.06,46.78,25.98,"CELF2"
"641","chr17",49260233,49260633,401,"*",5.07442805393397,4.70399004775396,5.43402286130265,-0.514796398865073,0.0316664707672833,0.999820495462944,21.84,29.87,18.03,32.89,27.7,48.26,26.94,62.83,34.9,"FLJ40194"
"642","chr1",218284961,218285361,401,"*",5.29062608353108,5.40583600821155,5.13233229069056,0.48519296263749,0.0316747446918567,0.999820495462944,35.52,48.59,29.33,53.49,45.05,39.15,21.86,50.97,28.31,"RRP15"
"643","chr1",207491291,207491691,401,"*",2.70160814468699,1.62694164742465,3.42976724896271,-1.55491449752727,0.0317539422916877,0.999820495462944,2.59,3.54,2.14,3.9,3.28,12.03,6.72,15.66,8.7,"CR1"
"644","chr2",44044281,44044681,401,"*",4.86859618424493,4.47754886244999,5.2435301900259,-0.550236063473104,0.031783490831715,0.999820495462944,18.66,25.53,15.41,28.11,23.67,42.29,23.61,55.06,30.58,"LRPPRC"
"645","chr4",36748011,36748411,401,"*",3.08203861916936,3.47072686256802,2.3771665701728,1.28533452851236,0.0317883775576569,0.999820495462944,9.29,12.71,7.67,13.99,11.78,5.8,3.24,7.55,4.19,"LINC02505"
