# GREAT version 4.0.4	Species assembly: hg38	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
Region1	NKX1-1 (-105492)
Region14903	STAB2 (-145353)
Region14904	LY6E (-32879)
Region14905	OS9 (-157)
Region14906	AGL (+6708)
Region14907	RPRM (+35487)
Region14908	BCAT1 (+340810)
Region14909	TRAF3IP3 (+10034)
Region14910	ATL2 (-11389)
Region14911	ILK (+42)
Region14912	NELL2 (+28951)
Region14913	EBNA1BP2 (+98785)
Region14914	HNRNPLL (-163)
Region14915	TRPM1 (+31913)
Region14916	NET1 (+35172)
Region14917	COPZ1 (+11524)
Region14918	UBXN2A (+117)
Region14919	EIF2D (+37041)
Region14920	PAAF1 (-86)
Region14921	MUC20 (+30237)
Region14922	ATP6V1G3 (-98345)
Region14923	CBLN2 (+746914)
Region14924	ZNF792 (-119)
Region14925	ARHGAP40 (+31852)
Region14926	MBNL3 (-49588)
Region14927	ANAPC4 (+23409)
Region14928	AMPH (+197654)
Region14929	GGH (+356250)
Region14930	NEUROD4 (+52335)
Region14931	LRP8 (+140)
Region14932	MFSD4A (-9)
Region14933	IFI16 (+46)
Region14934	AKTIP (-24129)
Region14935	TMEM235 (+21170)
Region14936	SLC11A2 (+18997)
Region14937	RAB5B (-128)
Region14938	TMTC4 (-193642)
Region14939	RMND1 (+10787)
Region14940	ZNF639 (-797)
Region14941	TPT1 (-11)
Region14942	NONE
Region14943	IZUMO3 (-886848)
Region14944	FMN2 (+1526)
Region14945	RAB9B (+274)
Region14946	GNG7 (+94333)
Region14947	TPO (-131851)
Region14948	ATRIP (-28)
Region14949	AMY1C (+67345)
Region14950	GPR137B (+704)
Region14951	ATP6V0C (-58)
Region14952	VSIG1 (-43677)
Region14953	FOXD2 (-3372)
Region14954	TLR5 (+29300)
Region14955	CITED4 (+12225)
Region14956	DIP2C (+204948)
Region14957	RAD21 (-12713)
Region14958	KPNA6 (+15)
Region14959	CD36 (-57651)
Region14960	BMPER (+311351)
Region14961	PCSK7 (-2)
Region14962	GEMIN6 (+14)
Region14963	TIMP1 (+47)
Region14964	DEFB131A (+87819)
Region14965	GNPDA1 (+62)
Region14966	HACL1 (-46076)
Region14967	CCDC155 (-8914)
Region14968	RTN4R (+45678)
Region14969	ACTG1 (+31262)
Region14970	CBR3 (-20763)
Region14971	ZNF804A (+534470)
Region14972	FOXL1 (+26061)
Region14973	MZT2A (-354)
Region14974	CYS1 (+7200)
Region14975	ASIC2 (-130996)
Region14976	SETD1B (-2239)
Region14977	DNAJB12 (+20039)
Region14978	OR4A15 (+9903)
Region14979	HINFP (-167)
Region14980	CXorf66 (+32598)
Region14981	ANKRD44 (+150794)
Region14982	FAM167A (+53007)
Region14983	KHDC1 (+133245)
Region14984	NONE
Region14985	SUSD2 (-24205)
Region14986	NFE2L2 (-63417)
Region14987	CELF6 (+104)
Region14988	ACKR3 (+117)
Region14989	LDLR (+1139)
Region14990	SLC31A2 (-38104)
Region14991	HDLBP (+552)
Region14992	RNF113B (-62518)
Region14993	NECTIN3 (+140052)
Region14994	FAM213B (-8257)
Region14995	EPS15L1 (-22)
Region14996	RPRM (+118076)
Region14997	PRSS27 (-1085)
Region14998	LGMN (+97281)
Region14999	MTRNR2L6 (-165712)
Region15000	C8orf44 (+45125)
Region15001	HSPA4L (+528)
Region15002	CA11 (-303)
Region15003	USP9X (+94757)
Region15004	RBX1 (-28455)
Region15005	ZNF414 (+149)
Region15006	ATL3 (-68)
Region15007	PDLIM1 (+125)
Region15008	DSCC1 (+81)
Region15009	CCDC93 (+97)
Region15010	KIAA0319L (+18226)
Region15011	RNF207 (-21)
Region15012	RPS24 (+13704)
Region15013	IL36G (+7321)
Region15014	FAM156A (-37087)
Region15015	FSCN1 (-29127)
Region15016	MIB2 (-64)
Region15017	EPHA5 (+428943)
Region15018	BOD1L2 (-138433)
Region15019	ANKRD53 (+6380)
Region15020	ELMO2 (+5396)
Region15021	EPM2AIP1 (+116599)
Region15022	ENSG00000256591 (-19)
Region15023	CLASP2 (-58760)
Region15024	SMAD7 (-2252)
Region15025	ASCC3 (-115147)
Region15026	CKAP2L (-49)
Region15027	PSIP1 (-90537)
Region15028	TUBA3C (+572414)
Region15029	ASXL2 (+34686)
Region15030	ESYT2 (+11033)
Region15031	CHD8 (-5618)
Region15032	CGGBP1 (+29255)
Region15033	NOTUM (+1449)
Region15034	SEC16A (-5889)
Region15035	GNG4 (+764)
Region15036	DNAJC3 (+30409)
Region15037	CELF4 (-325402)
Region15038	SERTAD2 (-166045)
Region15039	SUB1 (-62383)
Region15040	MDGA1 (+153)
Region15041	WSB2 (+1296)
Region15042	VGLL1 (+45611)
Region15043	MRPL43 (+59)
Region15044	ATP6V0A4 (-88458)
Region15045	CCDC96 (+55860)
Region15046	KLF15 (+69560)
Region15047	MYO1D (-68)
Region15048	GALNT3 (+110310)
Region15049	NONE
Region15050	ARHGAP12 (+232230)
Region15051	LUZP2 (+530841)
Region15052	CLDN12 (+52151)
Region15053	TMEM131L (-26961)
Region15054	EEA1 (-49273)
Region15055	RHOT1 (-14918)
Region15056	MB21D2 (+129050)
Region15057	CHST9 (-488880)
Region15058	TMCO4 (+4)
Region15059	DSEL (+159490)
Region15060	ARHGEF9 (+194202)
Region15061	BHLHA9 (-41011)
Region15062	PITPNC1 (+63002)
Region15063	ETS1 (+246066)
Region15064	SFPQ (+16252)
Region15065	RPN1 (-46)
Region15066	EIF4EBP1 (-15410)
Region15067	CHDH (+65)
Region15068	PHF20 (+174)
Region15069	STOML2 (-36)
Region15070	FGGY (-162)
Region15071	STUM (-57617)
Region15072	PSD4 (-16563)
Region15073	ZC3H13 (-21)
Region15074	SULT2B1 (+20821)
Region15075	FARS2 (+365919)
Region15076	HAO1 (+473289)
Region15077	IRS1 (+1105)
Region15078	CPNE8 (+71751)
Region15079	NONE
Region15080	C19orf12 (-1655)
Region15081	UST (+284968)
Region15082	NONE
Region15083	DAPK3 (-14)
Region15084	MATR3 (+7412)
Region15085	ZNF765 (-28)
Region15086	STARD3NL (+55)
Region15087	SFMBT2 (+218289)
Region15088	PPM1H (+78952)
Region15089	WNT10A (+12491)
Region15090	GBE1 (-822559)
Region15091	FAM110B (-299151)
Region15092	WWP2 (+34007)
Region15093	ENSG00000249319 (+12151)
Region15094	PHB2 (-3)
Region15095	KLHL29 (-250528)
Region15096	PRELID3B (+34)
Region15097	FRMD4A (-176388)
Region15098	RASSF8 (-98914)
Region15099	UROD (-47)
Region15100	TANK (-96492)
Region15101	GATA3 (-20528)
Region15102	UCK2 (+86866)
Region15103	TINAG (+19641)
Region15104	SEMA4B (-9309)
Region15105	TMEM121 (+518811)
Region15106	DGKB (+429970)
Region15107	CDHR3 (+29857)
Region15108	BTBD1 (+144)
Region15109	CYP4V2 (-25)
Region15110	ETV5 (-119)
Region15111	NONE
Region15112	HERPUD2 (+44484)
Region15113	ETF1 (0)
Region15114	CRTAM (+13438)
Region15115	SOS1 (-16031)
Region15116	SUN1 (-130)
Region15117	NONE
Region15118	DCP1A (-12)
Region15119	TBC1D22A (+413575)
Region15120	FOXD3 (-21151)
Region15121	RBBP7 (-19630)
Region15122	DNAL4 (-29)
Region15123	TXNDC11 (-84)
Region15124	SEMA4D (+45902)
Region15125	KY (+74755)
Region15126	AKNA (+21216)
Region15127	SPATA24 (-14)
Region15128	ALPP (-62824)
Region15129	EIF1 (-22685)
Region15130	PPIA (-109)
Region15131	ASNA1 (+142)
Region15132	PRDM1 (-292825)
Region15133	HEXA (-111)
Region15134	MSTN (+17589)
Region15135	IL20RB (+220985)
Region15136	LNX1 (-156621)
Region15137	SCUBE2 (-46390)
Region15138	PHF19 (+2460)
Region15139	SETD2 (-15018)
Region15140	ARFGEF1 (-57445)
Region15141	MAP4K4 (+130883)
Region15142	C1QTNF9 (-36368)
Region15143	GJA5 (-5412)
Region15144	SPACA9 (+269)
Region15145	RBM15 (+660)
Region15146	MTX2 (+383404)
Region15147	BACH2 (+10484)
Region15148	LANCL2 (-110337)
Region15149	TNPO1 (+67398)
Region15150	CKAP5 (+42)
Region15151	LHFPL2 (+330)
Region15152	C1QTNF9 (-146399)
Region15153	TTF2 (-11004)
Region15154	TNFSF8 (+1114)
Region15155	JRKL (+165899)
Region15156	BDP1 (-8202)
Region15157	ZBTB17 (+24929)
Region15158	TRDMT1 (-4652)
Region15159	ZNF611 (-15)
Region15160	PPIAL4G (-39027)
Region15161	PTN (+147097)
Region15162	CTR9 (-15078)
Region15163	ACYP2 (-71)
Region15164	MAPKAPK2 (+41340)
Region15165	LAPTM5 (-43250)
Region15166	MKL1 (-67553)
Region15167	NMBR (+827631)
Region15168	METTL22 (+23219)
Region15169	C1orf186 (+351)
Region15170	IGSF11 (+85396)
Region15171	BACH2 (+22098)
Region15172	DDIT3 (-115)
Region15173	POLR2E (+13068)
Region15174	GRM5 (+68506)
Region15175	WDR75 (-99)
Region15176	OR4C6 (+847)
Region15177	DCBLD2 (+63815)
Region15178	DLX5 (+8100)
Region15179	SARDH (+38484)
Region15180	UGDH (-9)
Region15181	NRSN2 (+7633)
Region15182	TNFRSF1A (+96)
Region15183	SPAG6 (+130875)
Region15184	PRKCZ (-5471)
Region15185	TBC1D23 (-176)
Region15186	PHKA2 (-179)
Region15187	COASY (-66)
Region15188	RHOQ (+846)
Region15189	RASL10B (+64)
Region15190	KLHL1 (+184513)
Region15191	MSR1 (-182846)
Region15192	ACVR1C (+34885)
Region15193	ZNF580 (-616)
Region15194	RBMS1 (+86397)
Region15195	SLC8A2 (+24412)
Region15196	TMTC2 (+759610)
Region15197	SSH2 (-1439)
Region15198	CCNO (+474)
Region15199	GPR1 (+3763)
Region15200	SYNDIG1 (-79364)
Region15201	PDXP (-149)
Region15202	DEF8 (-59)
Region15203	ENSG00000272305 (+26612)
Region15204	DPYSL4 (-28359)
Region15205	ARPC5 (+12281)
Region15206	SDC4 (+250)
Region15207	IPMK (+751829)
Region15208	FANCA (-33)
Region15209	BMP10 (+42051)
Region15210	AMACR (-11)
Region15211	HIST1H4D (-43)
Region15212	RNLS (+304052)
Region15213	DOCK10 (+95302)
Region15214	XPO6 (-161)
Region15215	SHKBP1 (-57)
Region15216	DNAJC4 (-181)
Region15217	FOXP1 (+1705)
Region15218	NTM (+135782)
Region15219	CEP126 (-63145)
Region15220	RCBTB2 (+445)
Region15221	GAPVD1 (+146365)
Region15222	TPRG1 (+183853)
Region15223	CHRAC1 (+14523)
Region15224	CTSB (+181)
Region15225	TBL1X (-123199)
Region15226	HIST1H2BL (+113504)
Region15227	LPCAT4 (-34)
Region15228	FAM53A (+103603)
Region15229	TMEM167A (-1)
Region15230	RAF1 (+10)
Region15231	DDX11 (-39)
Region15232	OR1D5 (+50372)
Region15233	RDH13 (-13)
Region15234	PPP2R2B (+178174)
Region15235	MLLT10 (-190)
Region15236	NONE
Region15237	MYBL1 (-174)
Region15238	CCR7 (+24108)
Region15239	PHACTR1 (+177254)
Region15240	NXT1 (-10614)
Region15241	KCNK6 (+298)
Region15242	EGFLAM (+7426)
Region15243	KIAA0040 (-126)
Region15244	MYO3B (+183311)
Region15245	FSD1L (-102)
Region15246	ZNF438 (+102238)
Region15247	ZNF782 (+33)
Region15248	EIF4EBP3 (-32614)
Region15249	MAP2 (-576106)
Region15250	PRKD2 (-109)
Region15251	FKBP5 (+39557)
Region15252	OLFML2B (-341)
Region15253	FBXW11 (-97)
Region15254	URM1 (-58)
Region15255	PRSS38 (-27602)
Region15256	RFESD (+17542)
Region15257	S100A11 (+1993)
Region15258	FGF5 (+233656)
Region15259	GAPT (+6037)
Region15260	TRAPPC10 (+371)
Region15261	STEAP1 (-6482)
Region15262	ACOXL (+84567)
Region15263	NUDT12 (-661070)
Region15264	ZNF804A (-196828)
Region15265	CT55 (+58866)
Region15266	STEAP1 (-531466)
Region15267	FAM120C (+8)
Region15268	LRRC37A3 (-727)
Region15269	FOS (+55450)
Region15270	SLC25A42 (-254)
Region15271	COL23A1 (+129)
Region15272	ZNF827 (-260)
Region15273	CHD1 (-165065)
Region15274	MRPL53 (-9866)
Region15275	ADCY9 (+528)
Region15276	PCID2 (+31)
Region15277	ZFP42 (-473659)
Region15278	TOP2A (-72)
Region15279	MCHR1 (-32385)
Region15280	TNFAIP8 (+7809)
Region15281	SLC25A51 (+33349)
Region15282	BMP2 (-176034)
Region15283	SCCPDH (-43737)
Region15284	CCDC85B (+468)
Region15285	CCDC47 (+75)
Region15286	PRR20C (-966281)
Region15287	GFOD1 (+32700)
Region15288	RET (+28025)
Region15289	SLC22A3 (+107847)
Region15290	TAPBP (+1273)
Region15291	DIP2B (+27709)
Region15292	ADA2 (-68622)
Region15293	FUK (-23223)
Region15294	RIPOR2 (-127156)
Region15295	GCH1 (+128835)
Region15296	CCDC180 (-85902)
Region15297	OPRK1 (-250907)
Region15298	APLF (-19033)
Region15299	CCNY (-20784)
Region15300	XIRP2 (+147766)
Region15301	CBX7 (-31744)
Region15302	RAB3GAP2 (+86039)
Region15303	IGLL1 (+146876)
Region15304	LMO4 (+402586)
Region15305	BCL2L11 (+15014)
Region15306	INPP5B (+15183)
Region15307	PPIL2 (+22630)
Region15308	CDK17 (+48078)
Region15309	TYRP1 (-725448)
Region15310	CMTM8 (+58718)
Region15311	BARHL2 (-26994)
Region15312	GRM5 (+202862)
Region15313	SLC43A3 (-12)
Region15314	DYNC2H1 (+216941)
Region15315	RALA (+10704)
Region15316	PRCP (+496289)
Region15317	STXBP5 (+228734)
Region15318	RSPH3 (-8264)
Region15319	PCCA (+26)
Region15320	TSTA3 (-52)
Region15321	CPOX (+20)
Region15322	ECSCR (+3847)
Region15323	SOX1 (-52570)
Region15324	OCIAD1 (-81)
Region15325	TBX18 (+223403)
Region15326	ZWINT (-322893)
Region15327	IGSF6 (+5349)
Region15328	LRMDA (+468203)
Region15329	NEBL (-83128)
Region15330	RIN3 (+320)
Region15331	ZSCAN23 (-5843)
Region15332	THAP5 (-425196)
Region15333	BUD31 (-15550)
Region15334	MYLIP (-154)
Region15335	VWC2L (+50355)
Region15336	STH (+3404)
Region15337	RTN4RL1 (+26468)
Region15338	CHD1L (+147282)
Region15339	SEL1L (-369386)
Region15340	TBR1 (+64205)
Region15341	PTMA (+5482)
Region15342	EFHC1 (+63)
Region15343	ZNF155 (-49)
Region15344	ZNF708 (+244)
Region15345	NONE
Region15346	SLC13A2 (-28089)
Region15347	RNF157 (-25647)
Region15348	IMPG1 (-520877)
Region15349	SFXN1 (+55844)
Region15350	NCSTN (+17)
Region15351	ENSG00000249209 (-16840)
Region15352	KDELR2 (-32345)
Region15353	FAM3B (-33323)
Region15354	STK32B (+726)
Region15355	LMNB1 (+92126)
Region15356	OTUD1 (+353880)
Region15357	SUGT1 (-76)
Region15358	FCGR1B (+10317)
Region15359	MED21 (+32215)
Region15360	CA5A (-14590)
Region15361	CD40 (-186)
Region15362	DHRS3 (-492)
Region15363	ZSCAN23 (-11)
Region15364	RANGRF (+96)
Region15365	KLRK1 (+25187)
Region15366	BCLAF3 (-20812)
Region15367	DEK (+36043)
Region15368	DNAJA2 (+45)
Region15369	TAB2 (-118424)
Region15370	ARHGAP27 (+34053)
Region15371	NUP50 (+23)
Region15372	TRAPPC4 (-20364)
Region15373	DNAJB2 (+75)
Region15374	KDM8 (-24282)
Region15375	KIF16B (+593621)
Region15376	FCHSD2 (-35968)
Region15377	SLC25A43 (-65398)
Region15378	NUP98 (+23468)
Region15379	RALYL (-871917)
Region15380	RASSF2 (+9219)
Region15381	DERA (+146429)
Region15382	PYGL (+518)
Region15383	CARD17 (-16250)
Region15384	ARF6 (+78310)
Region15385	FYN (+54626)
Region15386	PSMD6 (-62)
Region15387	STK10 (+13034)
Region15388	OSBPL10 (+373)
Region15389	MAGEE1 (+26103)
Region15390	CALB1 (-15821)
Region15391	NONE
Region15392	VPS9D1 (+9075)
Region15393	TBC1D14 (+32663)
Region15394	ANKRD50 (+338232)
Region15395	ZNF644 (-143062)
Region15396	DNAJA3 (-58)
Region15397	LMO7 (+126085)
Region15398	LY86 (+223574)
Region15399	SRGAP3 (-255)
Region15400	MKNK1 (-88)
Region15401	IL13 (-1442)
Region15402	IGLL5 (+71558)
Region15403	PRKCA (+28593)
Region15404	TCIRG1 (+6)
Region15405	COL6A1 (-154108)
Region15406	LRRC4C (-556707)
Region15407	CINP (+19911)
Region15408	DEPDC7 (-52408)
Region15409	IRX2 (+263755)
Region15410	NUAK2 (-26)
Region15411	MPG (+18872)
Region15412	PTBP2 (+127553)
Region15413	GMCL1 (-54)
Region15414	SLCO1B3 (-8310)
Region15415	FEM1C (-19)
Region15416	SH3BP1 (+119)
Region15417	TOR1A (-27)
Region15418	PRR14 (-16773)
Region15419	SRSF4 (-10)
Region15420	AKAP10 (-31474)
Region15421	MEIS1 (+411403)
Region15422	DPPA4 (-639536)
Region15423	ANP32E (+14328)
Region15424	NECAP2 (+58549)
Region15425	KCTD7 (+53283)
Region15426	RIPK2 (+158)
Region15427	FIG4 (-36)
Region15428	TAF8 (-27912)
Region15429	NBPF11 (-128312)
Region15430	ZNF582 (+25366)
Region15431	SMAD4 (+80279)
Region15432	VPS54 (-257)
Region15433	XPO1 (-156545)
Region15434	INF2 (-23805)
Region15435	ZIC4 (+133723)
Region15436	STRAP (-60)
Region15437	HOMER3 (-39308)
Region15438	TRIB1 (+541760)
Region15439	GLYATL1 (-15257)
Region15440	STX7 (-46)
Region15441	SLC9A8 (+19197)
Region15442	NONE
Region15443	COMMD9 (-39)
Region15444	JMJD7 (-27)
Region15445	RUFY4 (-34410)
Region15446	CXCR5 (+8992)
Region15447	CENPK (-17)
Region15448	RAB40AL (-36531)
Region15449	MRPL49 (-79)
Region15450	RNF13 (+12715)
Region15451	RASGRF2 (+46498)
Region15452	CA5B (+13283)
Region15453	COMMD3 (-63381)
Region15454	USP32 (-29447)
Region15455	NLGN1 (-2816)
Region15456	SCML4 (+9507)
Region15457	MMD (-34)
Region15458	CAMK1D (-144)
Region15459	SELENOM (+12500)
Region15460	NONE
Region15461	RAP1GDS1 (-524735)
Region15462	PRR20C (-712524)
Region15463	RAP1GAP2 (-134)
Region15464	LRRC4 (-104821)
Region15465	ABHD5 (+222806)
Region15466	ETNK1 (+54124)
Region15467	ZNF286B (-15805)
Region15468	TBC1D2 (-35776)
Region15469	TCAF1 (+22)
Region15470	SPDYE1 (-14750)
Region15471	WSB1 (+38910)
Region15472	GPR108 (-109)
Region15473	TMEM27 (-10293)
Region15474	BRF1 (-424)
Region15475	INPP5E (-46)
Region15476	SENP6 (-257)
Region15477	KIAA1644 (-142855)
Region15478	FN1 (+229)
Region15479	UBL7 (-91)
Region15480	GHITM (-223279)
Region15481	GULP1 (+47722)
Region15482	TIAM1 (-10195)
Region15483	FLNB (-17)
Region15484	MED29 (+6524)
Region15485	GTF2H4 (-80)
Region15486	AHSG (+4271)
Region15487	STRIP2 (-66452)
Region15488	PRRC1 (-36)
Region15489	CHD2 (-79866)
Region15490	PECAM1 (+42574)
Region15491	MED13L (+23657)
Region15492	CNFN (-6836)
Region15493	EVI2A (+6)
Region15494	ARL2 (-345)
Region15495	FBXO38 (+60062)
Region15496	MEF2C (-99804)
Region15497	BRCA1 (+13)
Region15498	ACTN1 (+11020)
Region15499	EZH2 (-57135)
Region15500	C2orf88 (+50944)
Region15501	FGD3 (+20)
Region15502	CDC7 (+149665)
Region15503	FBXO28 (+131)
Region15504	RPN1 (+42335)
Region15505	GALNT2 (-110)
Region15506	IFT140 (-77)
Region15507	TIA1 (-108)
Region15508	CARTPT (+188625)
Region15509	KDM4B (+49736)
Region15510	ADGRV1 (+225035)
Region15511	COIL (+52)
Region15512	FGGY (-186124)
Region15513	EREG (+168)
Region15514	EFCAB10 (-70)
Region15515	FBF1 (-147)
Region15516	TRPM1 (+77897)
Region15517	MUC12 (+2680)
Region15518	GPR89B (+86273)
Region15519	EZR (-20353)
Region15520	TRMT11 (+110)
Region15521	ZCCHC12 (+48618)
Region15522	KPNA3 (-55168)
Region15523	HELB (+91494)
Region15524	TMEM245 (-79)
Region15525	RFTN1 (+1605)
Region15526	CASP2 (+74)
Region15527	BIN1 (+22429)
Region15528	NFYA (+8311)
Region15529	CXXC1 (-10485)
Region15530	PCDH10 (+230864)
Region15531	CCDC182 (+141143)
Region15532	RGS13 (-26854)
Region15533	PIK3CD (+77126)
Region15534	BCL2L11 (-130)
Region15535	TAF1B (-29317)
Region15536	NONE
Region15537	CXCR5 (-13464)
Region15538	TPBGL (+7921)
Region15539	CETN3 (+303775)
Region15540	CSMD3 (+712567)
Region15541	SLC6A9 (+11455)
Region15542	F5 (+137)
Region15543	NONE
Region15544	FAM126A (-7388)
Region15545	WSCD1 (+3)
Region15546	ZBTB25 (-10)
Region15547	ENSG00000250264 (-8)
Region15548	TIMM22 (-294)
Region15549	COL24A1 (+203858)
Region15550	USP6 (-4562)
Region15551	ZNHIT2 (-89)
Region15552	TLR5 (-93211)
Region15553	KLLN (-283559)
Region15554	ZNF714 (-68)
Region15555	MAP3K1 (-258)
Region15556	MIS18BP1 (-239214)
Region15557	SLC23A2 (-46657)
Region15558	SIPA1 (-342)
Region15559	UQCRFS1 (+498443)
Region15560	TATDN2 (-5456)
Region15561	IL16 (-40950)
Region15562	MKI67 (+78849)
Region15563	LZTS1 (-189487)
Region15564	LYL1 (+41338)
Region15565	ACAT1 (+6)
Region15566	ZFP36L2 (+95190)
Region15567	N6AMT1 (+139996)
Region15568	ACOXL (+121990)
Region15569	SPATC1 (+7521)
Region15570	NONE
Region15571	RASGRF2 (+37854)
Region15572	ID2 (-458614)
Region15573	RBFOX1 (-245679)
Region15574	SHROOM3 (-31325)
Region15575	FMO4 (-160)
Region15576	IGSF11 (+679949)
Region15577	LSAMP (-793024)
Region15578	GRIA3 (+207644)
Region15579	CHD6 (-35)
Region15580	TBCD (+29903)
Region15581	RCSD1 (-12619)
Region15582	ATF6 (-2751)
Region15583	LHX4 (+503)
Region15584	MDFIC (-54771)
Region15585	LMO4 (+497870)
Region15586	BRINP3 (-113890)
Region15587	PPP1R12C (-218)
Region15588	GBP5 (-16293)
Region15589	GPSM2 (+1646)
Region15590	SLC39A8 (-238)
Region15591	POMT1 (+69)
Region15592	SMYD3 (+9635)
Region15593	OR13H1 (+185155)
Region15594	ZEB1 (+75)
Region15595	CLNK (+106455)
Region15596	SOCS6 (+484313)
Region15597	FOXO4 (-352)
Region15598	MYO16 (-133064)
Region15599	SOX11 (-520194)
Region15600	UTP20 (-34)
Region15601	SLCO4C1 (+141409)
Region15602	RND1 (-3)
Region15603	NONE
Region15604	MAT2B (+370209)
Region15605	PABPC4L (-258652)
Region15606	CDAN1 (+32406)
Region15607	LRFN5 (+440870)
Region15608	RHOF (-81)
Region15609	CARMIL1 (-94002)
Region15610	AMFR (+107092)
Region15611	METTL13 (-316)
Region15612	NXPH2 (-441269)
Region15613	CDK20 (+23034)
Region15614	PHF3 (+135200)
Region15615	NOSTRIN (-73255)
Region15616	GPR137B (+184)
Region15617	TMEM125 (+966)
Region15618	ENPP7 (+11140)
Region15619	TGFA (-101849)
Region15620	CNTF (+31571)
Region15621	BTG1 (+110808)
Region15622	CCDC88C (-238)
Region15623	GLS2 (-32)
Region15624	SLC9A8 (+163)
Region15625	CDK13 (-443)
Region15626	BLVRA (-47)
Region15627	PDSS1 (-14568)
Region15628	DHRS7C (+19601)
Region15629	DTHD1 (+2440)
Region15630	TMEM60 (0)
Region15631	PLOD2 (+758188)
Region15632	IFNE (-77450)
Region15633	METTL5 (-10)
Region15634	TFEC (+524012)
Region15635	CREBL2 (+10665)
Region15636	ZBTB40 (-50787)
Region15637	PRKCZ (-190)
Region15638	PRIM1 (-37)
Region15639	ACR (+18956)
Region15640	MRPL36 (+61806)
Region15641	ASB8 (+4)
Region15642	FOXO1 (+444629)
Region15643	SPSB4 (-19702)
Region15644	AIP (+1319)
Region15645	TOP2A (+15072)
Region15646	HSD11B1L (+2934)
Region15647	NOL7 (-56)
Region15648	TMUB2 (-236)
Region15649	ERMP1 (+107)
Region15650	PIF1 (+1499)
Region15651	GHRHR (-41)
Region15652	CPNE3 (+66861)
Region15653	KLHL31 (-34741)
Region15654	RRP7A (-44)
Region15655	PKP2 (+34088)
Region15656	ADPGK (-72220)
Region15657	TNS2 (-1477)
Region15658	PSD3 (-35)
Region15659	FAM49B (-55121)
Region15660	SMYD5 (+31)
Region15661	TFDP2 (-38)
Region15662	PLN (+70700)
Region15663	NONE
Region15664	NEDD4L (+259179)
Region15665	NCAM2 (-966770)
Region15666	ITSN2 (-42195)
Region15667	NT5C (+545)
Region15668	GLRX5 (-18280)
Region15669	GRM3 (-361605)
Region15670	ARFGAP2 (+68)
Region15671	WDR37 (+7247)
Region15672	LMF1 (-48)
Region15673	ATP5L (-2183)
Region15674	DAP (-517634)
Region15675	CORIN (+497)
Region15676	MCTP1 (+134905)
Region15677	ZNF80 (+5087)
Region15678	VGLL4 (+1089)
Region15679	SLC45A4 (+8957)
Region15680	SSBP2 (-52606)
Region15681	C11orf1 (+58)
Region15682	EIF1B (-199880)
Region15683	PPARGC1A (+598018)
Region15684	CYB5RL (+1049)
Region15685	CAMKMT (-148)
Region15686	BPIFB1 (-6569)
Region15687	LBX1 (-61884)
Region15688	PIGBOS1 (-86)
Region15689	ADARB2 (-195486)
Region15690	CKAP5 (+19360)
Region15691	CD276 (+245)
Region15692	PARD3 (+173490)
Region15693	RAP1A (-15597)
Region15694	NKX6-1 (+212446)
Region15695	TSHZ2 (-217)
Region15696	NELFA (+36492)
Region15697	EDIL3 (+64929)
Region15698	AAGAB (+40)
Region15699	UTP20 (+34634)
Region15700	SOCS3 (+45846)
Region15701	UBXN4 (+62)
Region15702	TRIM31 (+11015)
Region15703	RIMS2 (+232776)
Region15704	DPF3 (+441271)
Region15705	ZNF664 (+37)
Region15706	MYL10 (-59154)
Region15707	PSMF1 (-10019)
Region15708	VWC2L (-79872)
Region15709	XCL1 (+55293)
Region15710	ATP13A3 (-85592)
Region15711	MCIDAS (+392)
Region15712	ZNF513 (-129)
Region15713	ATRNL1 (+202668)
Region15714	NONE
Region15715	STARD3NL (-70672)
Region15716	HEY1 (-150)
Region15717	TFB1M (-105)
Region15718	CES3 (-12807)
Region15719	ADORA3 (-4561)
Region15720	PLEKHA7 (+464)
Region15721	PCDH17 (-49482)
Region15722	NFE2L3 (-73104)
Region15723	NONE
Region15724	RNF144A (-3475)
Region15725	NONE
Region15726	FOXG1 (-959177)
Region15727	CYTH3 (-58)
Region15728	AKAP7 (+48851)
Region15729	NCF1 (+14858)
Region15730	ABO (+1898)
Region15731	MGST3 (+214)
Region15732	NONE
Region15733	PDS5B (+194505)
Region15734	CHST7 (+38092)
Region15735	ENC1 (+788)
Region15736	ATP10A (+144223)
Region15737	ZSCAN20 (+14030)
Region15738	TM7SF2 (-1370)
Region15739	NPTN (-43)
Region15740	SLC9A3R1 (-109)
Region15741	GOLGA8B (-47648)
Region15742	MT2A (+1578)
Region15743	KDM2B (+44501)
Region15744	BARX1 (+127759)
Region15745	ARMC6 (+177)
Region15746	EPM2A (+525708)
Region15747	SIRPA (-117163)
Region15748	DBNDD2 (-1154)
Region15749	KCTD15 (+21994)
Region15750	NFKB1 (+85543)
Region15751	PSTPIP1 (+84)
Region15752	PDCL (-17951)
Region15753	NONE
Region15754	ZNF43 (+15796)
Region15755	AIG1 (-117)
Region15756	BCAT2 (-13)
Region15757	MTAP (-24609)
Region15758	SERP2 (-99238)
Region15759	MRPL48 (+791)
Region15760	NUDT10 (+561)
Region15761	FAM26F (+753)
Region15762	RNFT1 (-32)
Region15763	TARS (-197034)
Region15764	BEGAIN (+20115)
Region15765	FUCA1 (-6463)
Region15766	PTBP2 (-497523)
